requirement_id,source_section,summary,screens_flows,core_components,acceptance_criteria,status,implementation_evidence,verification_evidence,primary_acceptance_phase,follow_up_review_phases,notes
REQ-064,需求/流水,账户详情显示运行余额，全局流水不显示,ACC-006;JRN-001,RunningBalanceColumn,同一交易在全局行不出现运行余额，在账户行出现。,VERIFIED,P04 optional UI model plus P15 application query accepts only an explicit account context for the running-balance window,P04-E003; P15-E004; P15-E005,P15,P34 | P36,API-36 SQLCipher test proves both global rows are null and both account-context rows carry balances.
REQ-065,需求/搜索筛选,完整维度、跨维度 AND、同维度 OR、保存默认方案,JRN-003;JRN-004,FilterBuilder,筛选摘要可读出逻辑；默认筛选可设置和清除。,VERIFIED,P04 filter UI contracts plus P15 complete typed SQL algebra natural summary and AEAD save/copy/default/reorder/delete store,P04-E003; P04-E007; P04-E008; P15-E002; P15-E003; P15-E004; P15-E005,P15,P34 | P36,FTS and geography are bounded candidates followed by exact predicates; presets contain no route or SavedState secrets.
REQ-066,需求/交易详情,展示所有关系、影响和完整历史,JRN-007..009,TransactionDetailSections,与交易有关但为空的区块隐藏；有值时都可到达对应详情。,VERIFIED,P15 typed detail reads user input account impact budget/statistics FX relationships place attachments source and immutable history/compare,P15-E001; P15-E004; P15-E005; P15-E006,P15,P34 | P36,Optional empty sections are omitted and populated sections/history/comparison are reachable through stable-ID routes.
REQ-067,需求/分析,至少20种固定报表和自定义仪表板,ANA-001..010,ReportCatalog;DashboardEditor,固定报表目录完整；自定义支持指标、维度、筛选、排序和规定图表。,VERIFIED,P25 completes the 20 fixed reports and bounded SQL compiler; P26 adds normalized revisioned custom definitions multiple dashboards copy reorder width compatibility preview drilldown and typed export interface,P04-E003; P25-E001; P25-E002; P25-E003; P25-E004; P26-E001; P26-E003; P26-E004,P25,P34 | P36,Complete acceptance is device and static verified; later phases only perform release regression.
REQ-068,需求/分析,图表摘要、可访问表格、饼图过多自动改条形图,ANA-003;ANA-009,AccessibleDataTable;VisualizationCompatibility,TalkBack 可先读摘要再进入数据表；类别>6时饼图不可选/自动转换。,VERIFIED,P04 governed chart/table foundation P25 fixed-report Vico rendering and P26 custom visualization compatibility explicit reason fallback summary and accessible exact table,P04-E003; P04-E007; P25-E002; P25-E004; P25-E005; P26-E002; P26-E004; P26-E005,P25,P34 | P36,Fixed and custom production rendering both prove the complete accessibility and visualization compatibility rule.
REQ-069,需求/异常预测,确定性规则，不使用AI,ANA-013;ANA-014,DeterministicMethodDisclosure,每个异常/预测可展开查看输入窗口、阈值与算法版本。,VERIFIED,Versioned exact-integer deterministic anomaly and forecast engines expose algorithm window threshold baseline assumptions recurrence and missing-data states through ANA-013/014,P26-E001; P26-E002; P26-E003; P26-E004; P26-E005,P26,P34 | P36,Same input Clock and algorithm version are golden/property verified; no AI SDK OCR formula or script execution surface exists.
REQ-070,需求/导航,底部固定五入口，更多功能承载其他模块,REC-001;JRN-001;ACC-001;BUD-001;ANA-001;G-006,LedgerNavigationBar,五项标签始终可见；更多入口位置一致。,VERIFIED,P04 closed five-item component/route contract plus P11 actual five-stack root and shared More entry,P04-E003; P04-E004; P04-E007; P04-E008; P11-E002; P11-E004,P11,P34 | P36,P11 verifies the global navigation entry; later feature items retain their own screen phases.
REQ-071,需求/冷启动,默认记账-支出；短暂返回恢复原页且可配置,G-001;REC-001;SETG-001,SessionRestorePolicy,自动化测试覆盖冷启动和后台恢复两种策略。,VERIFIED,P11 cold encrypted startup to REC-001 EXPENSE plus short-background memory and safe always-last-page Proto policy,P11-E002; P11-E003,P11,P34 | P36,P11 device/JVM evidence covers both frozen restore policies.
REQ-072,需求/小组件,九类小组件，金额默认隐藏，快速记账不直接保存,WGT-001..003,WidgetPreview;AmountPrivacy,新组件默认隐藏金额；点击快速记账只打开表单。,NOT_STARTED,,,P33,P34 | P36,P00 baseline only; implementation not claimed.
REQ-073,需求/导入,CSV/Excel通用和结构化导入、暂存、预览、校验、重复处理,IMP-001..010,ImportWizard,导入前主账本无变化；用户可从错误跳到来源行。,VERIFIED,P28 Commons CSV and FastExcel streams independent SQLCipher staging previews mapping FX validation explicit duplicate resolution 15-kind structured preparation atomic commit audit history and undo across IMP-001..010,P28-E001; P28-E002; P28-E003; P28-E004; P28-E005; P28-E006,P28,P34 | P36,P28 verifies complete general and structured import without primary-ledger mutation before commit.
REQ-074,需求/导出,筛选CSV、全量Excel、报表图/PDF/Excel、加密备份,EXP-001..004;ANA-010;BKP-001..007,ExportTypeCards,保险库完整字段永不在CSV/Excel字段列表出现。,VERIFIED,P26 typed report payload plus P29 current-filter Commons CSV complete 15-sheet FastExcel workbook report CSV/XLSX/PdfDocument/PNG encrypted operation and atomic SAF delivery plus P30 separately encrypted managed and portable complete backup,P26-E001; P26-E003; P26-E004; P29-E001; P29-E002; P29-E003; P29-E004; P29-E005; P29-E006; P30-E001; P30-E002; P30-E003; P30-E005; P30-E006,P29,P34 | P36,P29 and P30 together close every listed output type while preserving the hard ordinary-export/complete-backup separation and closed sensitive field vocabulary.
REQ-075,需求/备份,始终加密、附件历史、可选保险库、保留策略、本地/Drive,BKP-001..007,BackupStatusHero;IncludeVaultToggle,未设置恢复密码时不能启用包含保险库；备份状态可验证。,VERIFIED,P09 device/recovery key hierarchy plus P30 authenticated logical-full repository ZIP64 portable backup attachment/history reuse optional ciphertext-only Vault configurable retention local/SAF/Drive transport and verified UI,P09-E001; P09-E004; P30-E001; P30-E002; P30-E003; P30-E004; P30-E005; P30-E006,P30,P34 | P36,P30 verifies the complete backup requirement; later restore/release reviews must consume but not weaken its immutable manifest and recovery-password boundaries.
REQ-076,需求/恢复,替换/同账本合并、安全快照、完整性检查、失败回滚,RST-001..007,RestoreModeCards;SafetySnapshotNotice,不兼容账本ID/本位币阻止合并；失败后显示已回滚。,IN_PROGRESS,P09 no-backdoor recovery-password unwrap and RecoveryRequired session disposition foundation,P09-E001; P09-E002,P31,P34 | P36,P09 does not implement restore validation shadow exchange merge rollback or UI; those remain P31.
REQ-077,需求/保险库,每次查看/复制认证，安全码禁复制，30秒/后台隐藏，禁截屏,VLT-001..004,SensitiveValueField;AuthenticationGate,自动化与真机测试覆盖每次认证、超时和后台切换。,IN_PROGRESS,P09 separate auth-per-use VaultAuthenticationKEK and Vault DEK one-action CryptoObject service with no security-code copy and bounded plaintext registry,P09-E001; P09-E004,P32,P34 | P36,P09 device-proves two independent authenticated vault actions and credential-removal failure; vault UI clipboard and screenshot acceptance remain P32.
REQ-078,需求/应用锁,默认关闭，多种超时，最近任务遮挡，可选全局禁截屏,SETG-006;SETG-007;G-002,LockScreen,所有超时选项存在；保险库安全策略不受全局开关影响。,IN_PROGRESS,P09 app-lock/privacy policy plus P11 Activity lifecycle BiometricPrompt lock screen and onboarding timeout choices,P09-E001; P09-E002; P11-E003; P11-E004,P32,P34 | P36,P11 wires runtime/first-run UI; complete settings screens remain P32.
REQ-079,需求/本地清除,只清本机；云端备份删除独立认证确认,CLR-001;CLR-002,TypedConfirmation,本地清除说明明确不删除导出文件/Drive；云端删除是独立流程。,IN_PROGRESS,P09 narrowly scoped local device/vault envelope and Keystore-key destruction primitive,P09-E002; P09-E003,P32,P34 | P36,P09 does not implement either clear-data UI or cloud-backup deletion and does not conflate the two workflows.
REQ-080,需求/遥测,首次确认前不发送，分别开关，可查看删除队列,ONB-005;SETG-009..011,ConsentToggle;QueueList,关闭后队列立即为空；UI 不显示业务数据字段。,IN_PROGRESS,P09 strengthened production logging telemetry SavedState and raw-secret static rejection plus redacted security exceptions,P09-E002; P09-E005,P32,P34 | P36,P09 establishes only the secret-leak boundary; consent transport queue visibility and deletion behavior remain P32.
REQ-081,需求/首次启动,十步顺序，账户/分类可跳过，无示例数据,ONB-001..010,OnboardingScaffold,步骤顺序固定；跳过后应用为空状态。,VERIFIED,P11 exact ten-step typed onboarding optional account/category/recovery and encrypted empty-book bootstrap,P11-E002; P11-E003; P11-E004; P11-E005,P11,P34 | P36,P11 creates no example transaction/fact and optional skips reach the empty expense root.
REQ-082,需求/国际化,简中、日语、英语；地区格式可覆盖,ONB-001;SETG-003..005,LocalizedText;FormatPreview,三语截图测试；长文案不截断。,IN_PROGRESS,P11 immediate root locale context and three-language resources; P14 adds three-language currency search visibility and ordering at compact width,P11-E004; P11-E005; P14-E005; P14-E006,P34,P36,SETG-004 is verified by P14; SETG-003/005 and full feature language acceptance remain P33/P34.
REQ-083,需求/无障碍,浅深、动态色、大字体、TalkBack、减少动画、触控目标、非颜色唯一,全局,LedgerTheme;AccessibleChart;TouchTarget,200%字体、TalkBack、灰度、减少动画和48dp触控目标均通过测试。,IN_PROGRESS,P02/P04 design-system accessibility foundation plus P11 65-state semantic leak width font theme dynamic and locale matrix,P02-E001; P02-E008; P04-E002; P04-E007; P04-E008; P11-E004; P11-E005,P34,P36,P11 covers G/ONB automation; feature-wide TalkBack/manual grayscale acceptance remains P34.
REQ-084,需求/性能,50万交易、分页、流式大型操作,JRN-001;IMP-008;EXP-004;BKP-001;RST-006,PagedList;OperationProgressPanel,列表不显示全量计数前阻塞；长操作持续进度、可安全取消并恢复。,IN_PROGRESS,P02 benchmark P07 durable operation schema P08 keyset queries P11 governed operation center P28 100000-row bounded encrypted import P29 100000-row bounded export and P30 48 GiB sparse encrypted Drive stream with durable progress safe cancel encrypted checkpoints crash recovery SAF cleanup and final-manifest idempotence,P02-E002; P02-E007; P02-E008; P07-E001; P07-E003; P08-E001; P08-E002; P08-E003; P11-E004; P28-E002; P28-E003; P28-E004; P28-E005; P28-E006; P29-E002; P29-E003; P29-E004; P29-E006; P30-E002; P30-E004; P30-E005; P30-E006,P35,P36,P30 closes the import/export/backup performance slices; restore and final cross-operation release replay remain P31-P35 so the cross-stage requirement remains IN_PROGRESS.
REQ-085,架构/UI导航,五个顶层各自独立back stack，导航参数只传稳定ID,全局路由契约,NavigationContract,静态检查禁止金额、备注、完整对象进入route。,VERIFIED,P04 typed all-screen route contract plus P11 real Navigation 3 five stacks safe Proto snapshot and Ready-only gate,P02-E001; P02-E004; P04-E004; P04-E005; P04-E009; P11-E001; P11-E002; P11-E003,P04,P34 | P36,P11 verifies actual root navigation without broadening the frozen route argument types.
REQ-086,架构/表单状态,未保存表单仅内存，SavedState不存敏感数据,REC-003;REC-023;AUT-003,SensitiveStatePolicy,进程重建后回到安全入口并说明未保存内容丢失；SavedState审计无敏感字段。,IN_PROGRESS,P02/P09 sensitive-state rejection plus P11 safe Proto schema and root process-loss banner consumption,P02-E003; P02-E004; P07-E002; P07-E003; P09-E001; P09-E002; P11-E001; P11-E002,P09,P34 | P36,P11 provides the root mechanism; complete feature-form process death acceptance remains owning phases.
REQ-087,架构/应用状态,Locked/Opening/Maintenance/RecoveryRequired状态完整,G-001..005,SessionGate,维护期间所有业务写按钮不可达。,VERIFIED,P09 BookSessionManager runtime plus P11 unique Compose SessionGate Ready-only routes and session-aware coordinator write gate,P02-E001; P09-E001; P09-E003; P11-E002; P11-E003; P11-E004; P11-E005,P11,P34 | P36,P11 verifies every G-001..005 state and blocks both navigation and financial writes outside Ready.
REQ-088,领域/修订冲突,编辑使用expectedRevision，冲突不得静默覆盖,REC-003;JRN-007,ConflictDialog,冲突时提供重新加载、查看差异、取消，不提供无提示强制覆盖。,IN_PROGRESS,P05 expectedRevision P06 validation P08 persisted recheck P13 reload/cancel editor state and P15 expected-revision history/compare mutations,P05-E001; P05-E002; P05-E003; P06-E001; P06-E002; P06-E003; P08-E002; P08-E003; P13-E004; P15-E002; P15-E004; P15-E005,P08,P34 | P36,Stale writes cannot commit and JRN comparison is reachable; final cross-feature conflict-dialog acceptance remains P34.
REQ-089,领域/清除墓碑,合并恢复中清除墓碑优先旧实体,RST-005,PurgeTombstoneConflictCard,冲突卡明确显示该项已被永久清除且不能选择旧版本复活。,IN_PROGRESS,P05 typed purge precedence P07 normalized tombstone/merge records and P08 Room tombstone mapping with normal command/repository purge fail-closed,P05-E001; P05-E002; P05-E003; P07-E001; P07-E003; P08-E001; P08-E003,P31,P34 | P36,P08 prevents ordinary physical purge and exposes typed tombstone reads; three-way merge precedence and conflict UI remain P31.
REQ-090,技术/UI栈,Compose+Material3、Navigation3、Glance、MapLibre、Vico,全局,core:designsystem wrappers,feature模块不得建立XML页面或第二套主题；地图/图表使用统一包装。,IN_PROGRESS,P01 frozen stack plus P04 governed Material Navigation3 Vico adapter Map/Glance restricted contracts and feature static gates,P01-E002; P01-E004; P04-E003; P04-E004; P04-E005; P04-E007; P04-E008,P01,P34 | P36,P04 establishes the required wrappers; actual MapLibre/Vico/Glance SDK capability remains P26/P33 and feature-wide review P34.
